lineup,team,opponent,month,dayofmonth,minutes,points
G. Antetokounmpo | J. Bayless | B. Knight | J. Parker | L. Sanders,MIL,LAC,12,13,3.4,56.4705882353
G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | K. Middleton,MIL,BRK,2,9,14.1,13.6170212766
B. Knight | O. Mayo | K. Middleton | Z. Pachulia | J. Parker,MIL,PHO,12,15,5.1,37.6470588235
J. Bayless | J. Henson | O. Mayo | K. Middleton | J. O'Bryant,MIL,ATL,3,30,0.9,213.333333333
G. Antetokounmpo | J. Bayless | B. Knight | O. Mayo | K. Middleton,MIL,HOU,2,6,6.5,29.5384615385
G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | K. Middleton,MIL,TOR,1,19,4.3,44.6511627907
E. Ilyasova | B. Knight | O. Mayo | K. Middleton | J. Parker,MIL,DET,11,28,1.8,106.666666667
G. Antetokounmpo | J. Bayless | J. Dudley | K. Marshall | Z. Pachulia,MIL,LAC,12,13,4.1,46.8292682927
G. Antetokounmpo | J. Bayless | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,PHI,2,25,1.4,137.142857143
T. Ennis | E. Ilyasova | O. Mayo | K. Middleton | M. Plumlee,MIL,ATL,2,22,3.3,58.1818181818
G. Antetokounmpo | J. Bayless | J. Henson | O. Mayo | K. Middleton,MIL,ORL,1,29,3.6,53.3333333333
J. Bayless | J. Dudley | J. Henson | O. Mayo | K. Middleton,MIL,ATL,12,26,6.8,28.2352941176
G. Antetokounmpo | J. Bayless | O. Mayo | K. Middleton | L. Sanders,MIL,CHO,10,29,1.7,112.941176471
G. Antetokounmpo | M. Carter-Williams | J. Henson | O. Mayo | K. Middleton,MIL,UTA,2,28,3.5,54.8571428571
B. Knight | K. Marshall | K. Middleton | Z. Pachulia | J. Parker,MIL,MIA,12,5,0.7,274.285714286
G. Antetokounmpo | J. Bayless | J. Dudley | E. Ilyasova | O. Mayo,MIL,CHI,2,23,5.6,34.2857142857
G. Antetokounmpo | J. Henson | K. Marshall | O. Mayo | J. Parker,MIL,PHI,10,31,5.0,38.4
J. Bayless | J. Gutierrez | E. Ilyasova | O. Mayo | J. O'Bryant,MIL,HOU,2,6,4.4,43.6363636364
J. Bayless | J. Henson | O. Mayo | J. O'Bryant | N. Wolters,MIL,PHI,1,7,1.6,120.0
G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,NYK,1,15,3.6,53.3333333333
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,LAL,2,27,12.4,15.4838709677
J. Bayless | K. Marshall | K. Middleton | J. O'Bryant | N. Wolters,MIL,POR,12,17,1.2,160.0
G. Antetokounmpo | J. Bayless | J. Henson | O. Mayo | Z. Pachulia,MIL,ATL,3,30,1.6,120.0
J. Bayless | M. Carter-Williams | J. Henson | E. Ilyasova | K. Middleton,MIL,NOP,3,17,2.9,66.2068965517
J. Bayless | M. Carter-Williams | J. Henson | K. Middleton | Z. Pachulia,MIL,CLE,4,8,2.8,68.5714285714
G. Antetokounmpo | J. Bayless | J. Dudley | K. Martin | K. Middleton,MIL,TOR,2,2,3.6,53.3333333333
G. Antetokounmpo | J. Bayless | O. Mayo | K. Middleton | Z. Pachulia,MIL,CHI,11,5,10.1,19.0099009901
G. Antetokounmpo | B. Knight | O. Mayo | Z. Pachulia | J. Parker,MIL,DET,11,25,4.3,44.6511627907
G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,CLE,12,31,3.8,50.5263157895
G. Antetokounmpo | M. Carter-Williams | J. Dudley | J. Henson | K. Middleton,MIL,BOS,4,3,2.9,66.2068965517
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | C. Johnson | M. Plumlee,MIL,IND,3,12,0.8,240.0
G. Antetokounmpo | J. Dudley | B. Knight | K. Marshall | J. Parker,MIL,OKC,12,9,0.8,240.0
G. Antetokounmpo | J. Dudley | B. Knight | K. Marshall | Z. Pachulia,MIL,ATL,12,26,1.1,174.545454545
G. Antetokounmpo | J. Dudley | B. Knight | J. Parker | L. Sanders,MIL,CHI,11,5,1.8,106.666666667
J. Bayless | B. Knight | O. Mayo | J. O'Bryant | Z. Pachulia,MIL,PHI,1,7,0.5,384.0
G. Antetokounmpo | J. Bayless | M. Carter-Williams | K. Middleton | Z. Pachulia,MIL,MIA,3,24,1.2,160.0
G. Antetokounmpo | J. Bayless | B. Knight | K. Martin | O. Mayo,MIL,MIA,1,27,3.0,64.0
G. Antetokounmpo | J. Bayless | T. Ennis | E. Ilyasova | Z. Pachulia,MIL,NOP,3,17,2.2,87.2727272727
G. Antetokounmpo | J. Bayless | B. Knight | K. Middleton | Z. Pachulia,MIL,CHI,1,10,5.3,36.2264150943
J. Dudley | E. Ilyasova | B. Knight | K. Middleton | J. Parker,MIL,WAS,11,22,1.8,106.666666667
J. Dudley | K. Marshall | K. Middleton | L. Sanders | N. Wolters,MIL,MIA,12,5,3.6,53.3333333333
J. Dudley | J. Henson | B. Knight | O. Mayo | K. Middleton,MIL,MIA,1,27,0.7,274.285714286
M. Carter-Williams | T. Ennis | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,NOP,3,17,3.1,61.935483871
G. Antetokounmpo | J. Bayless | M. Carter-Williams | K. Middleton | M. Plumlee,MIL,SAS,3,18,2.4,80.0
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | Z. Pachulia,MIL,PHI,2,25,12.1,15.867768595
G. Antetokounmpo | J. Bayless | O. Mayo | K. Middleton | Z. Pachulia,MIL,SAS,1,25,3.4,56.4705882353
G. Antetokounmpo | M. Carter-Williams | J. Dudley | J. Henson | K. Middleton,MIL,DEN,3,3,1.2,160.0
G. Antetokounmpo | J. Bayless | J. Dudley | K. Marshall | K. Middleton,MIL,DET,11,28,2.1,91.4285714286
G. Antetokounmpo | J. Bayless | O. Mayo | J. O'Bryant | Z. Pachulia,MIL,DEN,2,20,2.3,83.4782608696
G. Antetokounmpo | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,IND,1,2,1.5,128.0
J. Bayless | J. Dudley | O. Mayo | K. Middleton | Z. Pachulia,MIL,MIN,1,9,4.9,39.1836734694
G. Antetokounmpo | M. Carter-Williams | J. Dudley | K. Middleton | Z. Pachulia,MIL,CHI,4,1,2.8,68.5714285714
J. Bayless | J. Dudley | B. Knight | K. Middleton | J. Parker,MIL,MIA,12,5,2.3,83.4782608696
G. Antetokounmpo | J. Bayless | B. Knight | K. Middleton | Z. Pachulia,MIL,PHI,1,7,1.2,160.0
G. Antetokounmpo | B. Knight | O. Mayo | K. Middleton | Z. Pachulia,MIL,IND,11,4,3.1,61.935483871
J. Bayless | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,ATL,12,27,2.2,65.4545454545
M. Carter-Williams | J. Dudley | J. Henson | C. Johnson | K. Middleton,MIL,WAS,3,7,1.8,80.0
G. Antetokounmpo | B. Knight | O. Mayo | Z. Pachulia | J. Parker,MIL,DAL,12,3,4.5,32.0
G. Antetokounmpo | M. Carter-Williams | J. Dudley | K. Middleton | Z. Pachulia,MIL,ORL,4,4,1.6,90.0
G. Antetokounmpo | M. Carter-Williams | J. Henson | K. Middleton | Z. Pachulia,MIL,UTA,2,28,3.0,48.0
G. Antetokounmpo | B. Knight | O. Mayo | J. O'Bryant | L. Sanders,MIL,CHO,12,23,6.0,24.0
G. Antetokounmpo | M. Carter-Williams | E. Ilyasova | K. Middleton | M. Plumlee,MIL,DEN,3,3,2.1,68.5714285714
G. Antetokounmpo | J. Bayless | J. Dudley | J. Henson | K. Middleton,MIL,IND,3,26,3.3,43.6363636364
E. Ilyasova | B. Knight | K. Middleton | Z. Pachulia | J. Parker,MIL,MEM,11,8,2.8,51.4285714286
G. Antetokounmpo | J. Bayless | J. Henson | O. Mayo | K. Middleton,MIL,CHI,11,5,4.5,32.0
J. Bayless | J. Dudley | B. Knight | K. Middleton | Z. Pachulia,MIL,LAC,12,13,1.7,84.7058823529
