lineup,team,opponent,month,dayofmonth,minutes,avg_pm,points,pred
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,MEM,4,11,28.1,-1.9998225298e-11,35.871886121,37.9648310842
T. Chandler | M. Ellis | D. Nowitzki | C. Parsons | R. Rondo,DAL,PHO,3,22,18.8,-32.8205128205,-40.8510638298,-69.3153888942
B. Beal | M. Gortat | N. Hilario | P. Pierce | J. Wall,WAS,POR,3,16,23.3,11.1627906977,8.24034334764,28.5003392714
T. Booker | T. Burke | R. Gobert | G. Hayward | E. Millsap,UTA,BKN,3,8,4.1,45.0,-23.4146341463,-13.8847559006
M. Belinelli | M. Bonner | T. Duncan | K. Leonard | T. Parker,SAS,MIA,3,31,2.8,67.2,-34.2857142857,-1.79251525904
R. Hibbert | G. Hill | S. Hill | C. Miles | D. West,IND,MIA,4,5,16.4,12.4675324675,20.487804878,31.8186929034
D. DeRozan | T. Hansbrough | A. Johnson | K. Lowry | L. Williams,TOR,IND,3,16,2.1,-19.2,0.0,-0.0492833989867
T. Chandler | M. Ellis | D. Nowitzki | C. Parsons | R. Rondo,DAL,SAS,3,27,12.1,8.27586206896,51.5702479339,42.9989412344
D. Exum | D. Favors | R. Gobert | G. Hayward | J. Ingles,UTA,BOS,3,4,11.9,12.6315789473,-24.2016806723,-37.6986397549
D. Exum | D. Favors | R. Gobert | G. Hayward | J. Ingles,UTA,LAL,3,19,1.8,6.95652173917,-106.666666667,-35.2878051354
T. Duncan | D. Green | K. Leonard | T. Parker | T. Splitter,SAS,CHI,3,8,14.5,-11.1627906977,6.62068965517,18.838346224
B. Bass | A. Bradley | J. Crowder | I. Thomas | E. Turner,BOS,NYK,3,27,6.4,8.57142857147,30.0,47.9225630075
T. Booker | T. Burke | R. Gobert | J. Ingles | E. Millsap,UTA,MEM,3,3,1.5,-75.7894736841,0.0,-40.3876648628
D. Carroll | A. Horford | K. Korver | P. Millsap | J. Teague,ATL,DEN,3,11,10.6,0.0,-27.1698113208,-55.7702123926
P. Antic | K. Bazemore | D. Carroll | P. Millsap | J. Teague,ATL,BKN,4,4,1.6,64.0,-60.0,-39.9458372267
D. Exum | D. Favors | R. Gobert | G. Hayward | J. Ingles,UTA,DEN,3,27,7.0,32.6530612245,-48.0,-39.910105137
T. Ariza | J. Harden | D. Motiejunas | J. Smith | J. Terry,HOU,LAC,3,15,2.4,-12.6315789474,-100.0,-20.4985008539
B. Diaw | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,NOP,4,15,8.0,-19.0476190476,0.0,-16.1175633741
K. Irving | L. James | K. Love | J. Smith | T. Thompson,CLE,PHO,3,7,6.4,-66.6666666667,-30.0,-55.115629118
M. Gasol | J. Green | C. Lee | Z. Randolph | B. Udrih,MEM,DEN,3,16,7.7,27.9611650485,-18.7012987013,-39.2338464799
A. Bogut | S. Curry | D. Green | A. Iguodala | K. Thompson,GSW,BOS,3,1,2.4,-28.2352941177,-80.0,-37.0342586017
T. Allen | M. Conley | M. Gasol | C. Lee | Z. Randolph,MEM,DAL,3,20,13.9,5.040703354,51.7985611511,37.6854977551
E. Bledsoe | B. Knight | A. Len | M. Morris | P. Tucker,PHO,OKC,3,29,1.3,37.0233568717,-184.615384615,-161.245928354
A. Anderson | M. Brown | J. Jack | B. Lopez | T. Young,BKN,NOP,3,10,1.5,-1.00001784631e-10,-64.0,-29.9459306124
I. Mahinmi | D. Rudez | L. Scola | R. Stuckey | C. Watson,IND,PHI,3,1,4.7,24.6153846154,-20.4255319149,-36.4852616029
O. Asik | D. Cunningham | A. Davis | T. Evans | E. Gordon,NOP,DEN,3,15,6.4,18.064516129,-52.5,-45.9794804551
G. Hill | S. Hill | I. Mahinmi | R. Stuckey | D. West,IND,TOR,3,16,5.7,-124.444444444,58.9473684211,-22.3853723939
C. Brewer | J. Harden | D. Motiejunas | J. Smith | J. Terry,HOU,IND,3,23,5.8,0.0,-8.27586206897,-17.0316565079
T. Hansbrough | P. Patterson | T. Ross | G. Vasquez | L. Williams,TOR,DET,3,24,3.7,22.8571428572,103.783783784,35.5749997531
H. Barnes | S. Curry | F. Ezeli | D. Green | K. Thompson,GSW,MIN,4,11,1.6,12.3076923077,90.0,28.1518851285
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,BOS,3,29,22.0,31.6049382716,37.0909090909,40.8424209114
M. Barnes | B. Griffin | D. Jordan | C. Paul | J. Redick,LAC,PHO,4,14,18.8,25.8452924523,45.9574468085,36.7464043535
T. Hansbrough | J. Johnson | P. Patterson | G. Vasquez | L. Williams,TOR,CHA,4,8,7.7,8.27586206896,-56.1038961039,-53.375079997
S. Curry | D. Green | A. Iguodala | M. Speights | K. Thompson,GSW,NOP,4,7,2.3,-29.3333333332,104.347826087,29.3577400187
S. Curry | F. Ezeli | D. Green | A. Iguodala | S. Livingston,GSW,MEM,3,27,1.2,68.5714285714,0.0,25.4328838214
R. Hibbert | G. Hill | C. Miles | R. Stuckey | D. West,IND,DET,4,10,3.6,48.0000000001,53.3333333333,35.6570471653
T. Ariza | P. Beverley | J. Harden | D. Motiejunas | J. Smith,HOU,POR,3,11,2.1,7.1054273576e-15,-91.4285714286,-38.081964948
A. Bogut | S. Curry | D. Green | A. Iguodala | K. Thompson,GSW,SAS,4,5,2.1,-50.0,182.857142857,46.27548956
