lineup,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
E. Bledsoe | A. Len | M. Morris | M. Morris | P. Tucker,PHX,14,4,10,0.286,133.0,111.0,114.2,-3.3,0.522,1.5,17.1,0.25,0.708,0.487,0.153,0.557,0.581,95.32,0.476
T. Black | J. Clarkson | W. Ellington | J. Hill | W. Johnson,LAL,7,2,5,0.286,132.0,101.9,90.5,11.4,0.534,1.57,15.8,0.336,0.904,0.608,0.14,0.467,0.496,91.79,0.53
J. Butler | P. Gasol | T. Gibson | K. Hinrich | D. Rose,CHI,20,10,10,0.5,132.0,109.3,102.3,7.0,0.524,1.67,16.0,0.239,0.728,0.51,0.125,0.518,0.562,95.74,0.541
C. Frye | D. Marble | V. Oladipo | E. Payton | N. Vucevic,ORL,8,2,6,0.25,132.0,106.8,108.0,-1.2,0.565,1.84,18.2,0.227,0.783,0.479,0.133,0.535,0.551,104.07,0.466
T. Hansbrough | P. Patterson | T. Ross | G. Vasquez | L. Williams,TOR,24,16,8,0.667,132.0,120.0,103.6,16.4,0.49,2.08,15.4,0.281,0.673,0.465,0.1,0.541,0.576,90.02,0.525
S. Adams | S. Ibaka | P. Jones | A. Roberson | R. Westbrook,OKC,15,8,7,0.533,131.0,105.1,99.0,6.1,0.52,1.39,15.2,0.284,0.767,0.542,0.145,0.484,0.536,96.96,0.521
R. Butler | K. Humphries | A. Miller | O. Porter | K. Seraphin,WAS,19,12,7,0.632,131.0,106.3,109.5,-3.2,0.67,2.28,21.1,0.358,0.724,0.537,0.137,0.493,0.516,87.3,0.503
E. Bledsoe | M. Morris | M. Morris | P. Tucker | B. Wright,PHX,13,6,7,0.462,130.0,94.9,96.5,-1.6,0.57,1.63,16.7,0.207,0.809,0.5,0.135,0.456,0.493,94.19,0.514
T. Burke | D. Favors | R. Gobert | G. Hayward | J. Ingles,UTA,26,13,13,0.5,128.0,104.7,89.8,14.9,0.552,1.07,16.9,0.296,0.779,0.564,0.21,0.546,0.58,94.33,0.626
C. Boozer | W. Ellington | J. Lin | R. Sacre | N. Young,LAL,16,6,10,0.375,127.0,107.5,100.4,7.1,0.544,1.93,17.2,0.179,0.774,0.48,0.116,0.528,0.558,96.35,0.516
S. Curry | D. Green | A. Iguodala | M. Speights | K. Thompson,GSW,43,36,7,0.837,127.0,124.4,97.0,27.4,0.69,3.35,22.3,0.227,0.718,0.48,0.093,0.587,0.624,104.18,0.68
J. Butler | M. Dunleavy | P. Gasol | T. Gibson | D. Rose,CHI,14,12,2,0.857,126.0,101.6,98.4,3.2,0.65,1.63,18.8,0.272,0.742,0.521,0.159,0.495,0.528,96.07,0.563
A. Afflalo | W. Chandler | J. Hickson | T. Lawson | T. Mozgov,DEN,19,8,11,0.421,125.0,99.2,111.2,-12.0,0.573,1.67,16.1,0.32,0.739,0.517,0.134,0.452,0.482,93.59,0.421
K. Martin | N. Pekovic | R. Rubio | A. Wiggins | T. Young,MIN,8,3,5,0.375,125.0,107.8,97.7,10.1,0.594,1.75,18.1,0.262,0.774,0.527,0.14,0.511,0.557,97.26,0.558
G. Antetokounmpo | J. Dudley | J. Henson | B. Knight | K. Middleton,MIL,18,13,5,0.722,124.0,111.2,98.3,12.9,0.657,1.97,20.6,0.302,0.69,0.502,0.149,0.537,0.565,95.27,0.605
O. Asik | D. Cunningham | T. Evans | E. Gordon | Q. Pondexter,NOP,14,9,5,0.643,124.0,97.1,99.1,-2.0,0.678,1.55,18.4,0.239,0.817,0.528,0.162,0.485,0.512,90.75,0.512
J. Butler | P. Gasol | K. Hinrich | J. Noah | D. Rose,CHI,15,7,8,0.467,124.0,88.7,94.8,-6.1,0.512,1.0,12.5,0.265,0.717,0.502,0.162,0.398,0.456,100.88,0.463
T. Burke | D. Favors | G. Hayward | J. Ingles | E. Kanter,UTA,28,11,17,0.393,123.0,98.3,115.3,-17.0,0.573,1.72,16.5,0.25,0.787,0.486,0.129,0.466,0.495,96.39,0.42
R. Hibbert | G. Hill | C. Miles | R. Stuckey | D. West,IND,22,16,6,0.727,123.0,110.6,94.8,15.8,0.584,1.69,17.9,0.238,0.795,0.537,0.142,0.534,0.576,96.3,0.6
A. Baynes | T. Duncan | D. Green | K. Leonard | T. Parker,SAS,16,8,8,0.5,122.0,95.0,94.1,0.8,0.628,1.97,18.3,0.209,0.718,0.458,0.125,0.449,0.487,97.41,0.519
T. Chandler | M. Ellis | R. Jefferson | D. Nowitzki | R. Rondo,DAL,14,10,4,0.714,122.0,108.8,93.2,15.6,0.592,1.71,17.9,0.173,0.765,0.484,0.137,0.537,0.582,98.52,0.592
A. Brooks | J. Butler | M. Dunleavy | P. Gasol | J. Noah,CHI,13,8,5,0.615,121.0,97.4,103.4,-6.0,0.721,2.14,19.4,0.263,0.709,0.478,0.128,0.456,0.483,89.39,0.493
J. Butler | P. Gasol | J. Noah | D. Rose | T. Snell,CHI,14,7,7,0.5,121.0,111.4,101.9,9.6,0.611,2.0,19.4,0.234,0.781,0.5,0.133,0.543,0.573,98.26,0.547
K. Garnett | J. Jack | J. Johnson | S. Karasev | M. Plumlee,BKN,10,5,5,0.5,121.0,106.8,107.5,-0.6,0.616,1.49,19.1,0.253,0.703,0.5,0.175,0.543,0.579,92.43,0.508
P. Antic | D. Carroll | K. Korver | P. Millsap | J. Teague,ATL,29,26,3,0.897,120.0,106.6,95.6,11.0,0.596,2.07,17.2,0.124,0.76,0.416,0.105,0.526,0.561,101.15,0.567
K. Bazemore | A. Horford | K. Korver | D. Schroder | M. Scott,ATL,28,21,7,0.75,120.0,96.4,110.3,-13.9,0.798,2.22,22.1,0.123,0.622,0.387,0.135,0.495,0.524,93.64,0.446
L. Amundson | A. Bargnani | L. Galloway | S. Larkin | L. Thomas,NYK,12,3,9,0.25,119.0,87.1,108.4,-21.3,0.564,1.42,15.3,0.198,0.76,0.458,0.141,0.424,0.452,89.45,0.338
J. Butler | M. Dunleavy | P. Gasol | K. Hinrich | J. Noah,CHI,10,7,3,0.7,119.0,95.8,105.3,-9.5,0.619,1.49,16.3,0.239,0.733,0.476,0.145,0.445,0.498,96.61,0.453
C. Andersen | C. Bosh | M. Chalmers | L. Deng | D. Wade,MIA,10,5,5,0.5,118.0,96.7,102.2,-5.4,0.667,1.33,18.7,0.209,0.77,0.503,0.187,0.492,0.539,92.79,0.503
